fix_identifier,state,description
SLUIS,COLORADO,37-54-45.7600N 108-23-49.3400W
SLUKA,OFFSHORE ATLANTIC,24-07-36.3800N 070-55-24.5700W
SLUMP,TENNESSEE,35-57-07.9400N 085-01-25.9700W
SLUPY,OKLAHOMA,34-11-17.0600N 095-38-59.4400W
SLURP,COLORADO,38-41-44.1700N 104-41-09.3300W
SLVAA,GEORGIA,FSQ*LD*094.99/22.53 33-37-52.2500N 084-00-04.3900W
SLVER,MISSOURI,FAM*C*349.71/20.00 38-00-09.9300N 090-18-07.6200W
SLVIR,NEVADA,37-13-06.0900N 116-01-11.8900W
SLVRR,CALIFORNIA,35-20-43.3900N 115-44-35.3100W
SLVVA,,42-08-38.1100N 082-37-36.1600W
SLYCE,OFFSHORE GULF,29-17-04.2200N 093-00-53.8900W
SLYDR,INDIANA,41-06-41.4100N 085-01-14.9000W
SLYER,OHIO,38-51-12.0800N 083-53-02.8400W
SLYNG,NEW JERSEY,STW*D*141.75 BWZ*D*085.00 RBV*C*000.80/38.72 40-50-23.3500N 074-37-51.6700W
SMAAK,OREGON,44-51-27.5300N 122-55-42.1800W
SMAIL,KENTUCKY,38-03-02.2800N 084-30-06.4700W
SMAIR,NEW YORK,44-03-32.4700N 074-26-20.9900W
SMALE,KANSAS,37-53-41.7200N 096-40-27.2400W
SMALL,ARIZONA,34-46-35.2900N 112-11-48.2900W
SMALS,KANSAS,38-58-57.9300N 095-10-12.3200W
SMALZ,GEORGIA,32-28-33.0000N 081-31-41.0000W
SMARI,RHODE ISLAND,PVD*D*136.82/10.93 SEY*D*044.85 OTI*LE*038.82/6.50 41-37-31.4200N 071-13-31.7900W
SMARR,GEORGIA,33-01-24.8700N 083-46-59.0500W
SMARS,ILLINOIS,41-07-38.1800N 088-51-38.2200W
SMASH,CALIFORNIA,34-46-27.5500N 116-01-25.9400W
SMAWG,ALABAMA,33-01-25.5300N 085-13-19.0400W
SMAZE,WEST VIRGINIA,40-25-23.0000N 080-34-46.1000W
SMEGL,CALIFORNIA,34-06-39.2800N 117-50-36.7800W
SMELY,GEORGIA,33-59-59.9800N 084-05-45.3500W
SMELZ,FLORIDA,28-04-59.0000N 082-06-34.0000W
SMERE,FLORIDA,TRV*C*303.02/9.53 MLB*D*189.18/21.38 27-44-53.5000N 080-39-02.2200W
SMERF,SOUTH DAKOTA,45-55-15.8200N 097-34-08.2600W
SMGLR,FLORIDA,26-43-54.8400N 079-58-22.1800W
SMIAM,NORTH CAROLINA,35-55-57.4900N 080-50-19.1400W
SMIDD,IOWA,42-45-03.0100N 092-37-16.0500W
SMIGE,OREGON,43-50-46.0000N 121-20-45.0000W
SMILN,TEXAS,30-12-20.0600N 098-04-17.4300W
SMILY,SOUTH CAROLINA,32-41-45.0500N 080-08-05.3200W
SMITE,NEW YORK,CFB*D*114.93 BGM*LS*160.32 42-06-34.0200N 075-53-44.9400W
SMITS,NEW JERSEY,ACY*C*090.00/11.00 VCN*D*105.73/29.13 CYN*C*178.25 39-29-15.0000N 074-20-35.1400W
SMITT,WASHINGTON,PSC*D*020.37/16.68 ALW*D*295.18 46-29-48.0700N 118-53-03.5400W
SMITY,MASSACHUSETTS,41-56-02.4200N 070-42-12.9200W
SMITZ,ALABAMA,34-24-33.7500N 087-28-44.2800W
SMKEE,NEVADA,36-54-07.5700N 115-37-14.8000W
SMKEY,GEORGIA,34-17-17.8400N 084-15-42.4600W
SMKKY,OREGON,42-22-13.6300N 123-07-22.1700W
SMLLY,ILLINOIS,42-07-45.3800N 088-20-10.5300W
SMLTZ,GEORGIA,32-59-54.8200N 084-10-21.2200W
SMMAL,GEORGIA,33-45-29.4400N 084-56-32.6700W
SMMNS,MICHIGAN,42-45-41.3300N 084-06-33.8000W
SMMUR,COLORADO,38-26-13.9000N 105-30-54.3500W
SMOAK,OREGON,46-04-33.0800N 123-21-11.2200W
SMOCR,TEXAS,29-53-30.4900N 095-17-01.4200W
SMOGG,GEORGIA,33-48-46.9900N 084-20-24.0400W
SMOKY,ALASKA,GKN*D*239.69/25.00 62-03-19.5200N 146-18-31.8100W
SMOLA,NEBRASKA,40-21-14.6200N 098-46-59.4000W
SMONE,CALIFORNIA,37-32-10.4500N 121-21-30.6500W
SMOOT,VIRGINIA,38-45-56.5800N 077-03-47.8000W
SMOTE,TEXAS,CDS*C*053.50/21.03 34-31-30.5300N 099-54-33.7100W
SMPRR,NORTH CAROLINA,34-26-28.3200N 078-50-31.8000W
SMPSN,COLORADO,39-40-38.4300N 104-06-37.9800W
SMPTR,MICHIGAN,ALA*LD*218.21/19.63 41-55-09.7600N 083-36-46.1200W
SMRDK,OREGON,44-17-10.3200N 121-33-23.4800W
SMRFF,TEXAS,30-11-33.0500N 097-34-00.2600W
SMRRF,TENNESSEE,35-33-43.2300N 086-26-20.2400W
SMTAR,IDAHO,44-35-48.4100N 113-59-58.3800W
SMTHR,COLORADO,39-42-02.1400N 104-16-49.2600W
SMTHY,IOWA,OVR*C*283.60 OGN*LD*178.21/6.12 41-12-51.5900N 095-53-41.9700W
SMTTH,TENNESSEE,35-54-41.5700N 084-00-19.7400W
SMTTY,OFFSHORE ATLANTIC,23-47-21.0000N 074-00-31.0000W
SMUDG,MAINE,45-28-14.5800N 069-11-54.2300W
SMUGS,FLORIDA,TRV*C*167.05/30.92 PHK*D*041.00 PBI*C*343.23/32.59 27-11-33.0700N 080-17-33.0500W
SMUKE,INDIANA,39-15-36.9000N 086-46-54.9800W
SMULA,ILLINOIS,42-20-27.9400N 088-39-35.7000W
SMURA,CALIFORNIA,38-07-00.1900N 119-59-46.8000W
SMURF,FLORIDA,NDZ*LD*139.13/3.87 30-38-43.6000N 086-57-40.4500W
SMUTZ,MASSACHUSETTS,42-27-42.5900N 072-50-46.4300W
SMUUV,MICHIGAN,42-27-58.7700N 086-07-38.3700W
SMYRA,FLORIDA,OMN*C*160.53/18.90 ORL*C*033.00/33.05 29-00-19.4800N 080-59-34.5100W
SMYRF,IDAHO,43-38-47.3800N 116-14-45.8500W
SMYTH,NEW YORK,42-30-16.5600N 073-53-05.8600W
SNAAG,ALASKA,60-53-55.8600N 151-21-46.0000W
SNABS,OFFSHORE ATLANTIC,30-25-13.3100N 078-31-13.2900W
SNACK,INDIANA,39-38-41.0800N 085-02-54.3100W
SNAEK,ALABAMA,CBM*C*136.00/20.00 33-24-03.5900N 088-09-43.1600W
SNAGR,ALASKA,56-59-31.0300N 135-20-45.1600W
SNAGY,OFFSHORE ATLANTIC,29-36-26.3900N 076-51-51.3800W
SNAIK,UTAH,HIF*T*269.39/39.94 OGD*C*260.00/33.00 41-15-36.6700N 112-49-32.7100W
SNAKE,CALIFORNIA,SLI*C*060.29 SNA*LD*015.92/12.39 33-50-51.3700N 117-45-34.7400W
SNAKI,LOUISIANA,RQR*D*082.00/36.61 HRV*C*016.34/18.88 PCU*D*193.48 30-08-58.5200N 089-53-19.4900W
SNAKK,NORTH CAROLINA,VKQ*LD*002.97/14.86 35-26-41.0700N 080-57-18.3500W
SNAKO,IDAHO,TWF*C*255.00/10.00 42-29-18.1000N 114-42-51.8800W
SNAKR,OFFSHORE GULF,25-20-29.0000N 085-20-41.6700W
SNAKS,CALIFORNIA,33-55-19.2900N 118-33-12.2600W
SNAKY,WYOMING,CKW*D*212.05/49.02 OCS*D*116.01/37.38 41-11-45.6300N 108-22-26.3400W
SNAPE,FLORIDA,UDL*LD*096.37/7.53 26-04-33.9600N 080-01-40.3300W
SNAPO,CONNECTICUT,PUT*D*211.40/5.00 41-52-33.2400N 071-52-38.8500W
SNAPP,GUAM,UNZ*C*035.00/180.00 15-51-12.3800N 146-36-20.8200E
SNAPR,OFFSHORE ATLANTIC,25-58-30.1600N 079-23-02.5400W
SNAPS,WISCONSIN,42-50-06.0200N 088-00-58.4100W
SNAPY,FLORIDA,29-48-51.1700N 083-42-23.6100W
SNARG,WISCONSIN,45-58-52.0000N 091-02-16.0000W
SNARK,IOWA,42-56-39.8000N 096-09-21.5400W
SNARL,FLORIDA,30-19-40.6400N 081-59-11.4200W
SNASS,OFFSHORE PACIFIC,48-18-46.0500N 125-15-02.7100W
SNAWX,OFFSHORE ATLANTIC,25-54-53.4000N 079-20-37.6500W
SNAXX,OFFSHORE PACIFIC,34-08-22.2400N 120-58-38.7600W
SNAZI,MARYLAND,39-34-33.8600N 076-25-11.9200W
SNBWL,OREGON,44-40-00.8200N 123-07-42.9800W
SNDAY,TEXAS,CLL*C*153.23/42.01 IDU*C*084.48 29-56-25.1400N 096-09-41.0700W
SNDBA,MASSACHUSETTS,42-27-17.0300N 070-53-36.7200W
SNDBR,FLORIDA,25-23-14.7700N 080-51-36.8500W
SNDDR,CALIFORNIA,33-53-57.7900N 117-19-54.5200W
SNDEE,CALIFORNIA,37-26-30.6200N 118-26-58.0000W
SNDER,ALASKA,64-32-09.4800N 165-20-32.9400W
SNDIA,NEW MEXICO,35-35-37.4200N 106-34-35.3300W
SNDIT,CALIFORNIA,39-30-38.5200N 120-08-37.9700W
SNDLR,FLORIDA,27-15-57.5100N 080-29-40.3000W
SNDOF,NORTH CAROLINA,35-36-31.4300N 077-29-54.2900W
SNDRS,OHIO,41-14-59.9600N 084-08-54.4400W
SNEAD,FLORIDA,PZD*D*207.00 SZW*C*287.71/24.11 MAI*C*109.33/17.10 30-41-28.6900N 084-48-45.5100W
SNEAK,CALIFORNIA,33-41-56.0000N 117-07-50.0000W
SNEAR,ALABAMA,VUZ*C*045.81 GAD*D*300.42 34-06-11.2600N 086-19-25.8900W
SNEDE,NEW JERSEY,39-33-45.6500N 075-01-23.2900W
SNEED,TEXAS,SPS*C*252.30/36.99 HBR*C*182.87 CDS*C*110.00/55.45 33-54-08.5200N 099-19-38.6900W
SNELL,MINNESOTA,GEP*C*130.86 SIJ*LC*045.02 44-57-17.8400N 093-07-18.4600W
SNETT,ALASKA,57-47-54.5900N 133-38-01.2800W
SNEVA,INDIANA,TTH*C*098.02 VHP*C*174.00/27.53 39-21-26.0700N 086-18-57.4300W
SNEVE,GEORGIA,33-43-56.3300N 084-48-57.9100W
SNEWP,NEW MEXICO,34-54-50.7900N 105-29-30.4000W
SNEZE,OHIO,DQN*D*136.00/18.50 MGY*LE*026.23/14.10 39-47-52.6100N 084-06-50.6900W
SNEZY,NEW HAMPSHIRE,MHT*D*229.80/9.00 42-44-43.3100N 071-29-08.2300W
SNFLD,FLORIDA,29-04-02.9900N 081-07-01.5100W
SNGGL,TEXAS,32-19-32.2700N 098-58-27.4600W
SNGRA,OFFSHORE ATLANTIC,18-24-01.8100N 065-45-53.6600W
SNIDR,TEXAS,29-39-12.0600N 097-49-48.1500W
SNIFN,OHIO,41-11-27.4200N 083-16-50.6800W
SNIFY,TEXAS,TNV*D*211.13 CLL*C*146.99/29.53 30-09-27.6400N 096-10-50.4000W
SNINE,WISCONSIN,GEP*C*072.00/31.30 45-15-06.7600N 092-39-02.8900W
SNIPE,OHIO,42-08-59.8600N 080-34-03.5900W
SNIPR,COLORADO,39-52-34.1800N 103-50-42.4200W
SNIPS,ALASKA,AKN*C*144.00/35.00 58-09-44.1500N 156-28-01.5200W
SNIVL,CONNECTICUT,41-28-46.1100N 072-44-34.9000W
SNKEM,FLORIDA,30-34-06.2400N 081-45-15.1000W
SNKLR,FLORIDA,27-08-10.9600N 080-04-24.5600W
SNKPT,INDIANA,40-14-13.9600N 085-23-39.2100W
SNNAK,CALIFORNIA,33-55-21.2400N 117-57-51.0600W
SNNDY,WASHINGTON,48-22-51.6900N 121-12-38.3100W
SNNOE,NEVADA,38-52-55.5000N 114-53-07.8900W
SNNOH,INDIANA,39-52-23.8400N 086-03-11.9000W
SNNOW,NORTH CAROLINA,GSB*T*080.71/18.00 35-25-26.3700N 077-37-14.9800W
SNNTA,SOUTH CAROLINA,32-30-12.4100N 078-50-24.4300W
SNOBB,SOUTH CAROLINA,32-53-45.1000N 079-53-37.9700W
SNOBE,FLORIDA,28-44-32.3700N 081-22-06.9000W
SNOBL,ARIZONA,34-25-50.9400N 111-58-23.1700W
SNOEE,COLORADO,38-27-34.9800N 108-00-49.8200W
SNOKE,FLORIDA,26-29-48.1200N 081-50-57.1900W
SNOKY,OREGON,DSD*C*247.22/16.00 44-13-47.7600N 121-40-23.2400W
SNOMN,OFFSHORE GULF,26-39-06.4700N 085-29-08.8900W
SNOOC,FLORIDA,CRG*C*108.88/29.35 30-12-12.7800N 080-58-01.4000W
SNOOH,MASSACHUSETTS,42-38-05.0000N 070-39-32.1100W
SNOOP,MISSOURI,38-38-23.4400N 090-46-01.8000W
SNOOZ,VIRGIN ISLANDS,COY*D*292.43/22.46 STT*D*196.00 17-48-53.8700N 065-05-01.9400W
SNOPO,NEW YORK,42-53-18.4000N 078-39-02.9500W
SNORA,CALIFORNIA,37-38-44.0000N 119-48-22.6600W
SNORE,IOWA,SPW*D* /6.98 SPW*LS*121.25 SPW*LS 43-14-02.4200N 095-19-40.4200W
SNORK,FLORIDA,27-49-50.1500N 082-32-48.7100W
SNOTT,TEXAS,30-13-26.4400N 097-46-13.7700W
SNOUT,ALASKA,YAK*D*195.00/117.66 57-53-26.3800N 141-45-19.0300W
SNOWD,MISSOURI,36-47-05.9300N 089-22-16.6200W
SNOWE,TEXAS,CQY*C*073.05/21.59 FZT*D*301.92/17.46 CVE*D*118.00/67.66 32-15-12.7000N 095-48-05.4200W
SNOWL,ARIZONA,IWA*C*121.81/6.36 PXR*C*108.73 TFD*C*028.37 IWA*LG*122.58*SE CRS 33-13-41.9800N 111-33-42.5500W
SNOWO,ARKANSAS,34-59-13.7400N 091-53-50.9300W
SNOWS,NORTH CAROLINA,RDU*C*284.00/26.16 SBV*C*202.89 35-54-33.8000N 079-19-05.0600W
SNOWW,MICHIGAN,MBS*D*016.36/35.00 44-05-56.6700N 083-53-24.9600W
SNOWY,PENNSYLVANIA,LVZ*C*211.87 SEG*D*100.91 FJC*C*283.84/23.29 40-45-05.7700N 075-57-51.6300W
SNOYL,GUAM,13-18-53.1200N 144-43-19.3200E
SNPPR,KENTUCKY,EEI*LD*186.21/17.61 38-45-53.4700N 084-38-52.9000W
SNRIS,ALASKA,JOH*D*272.81/86.84 TED*D*107.31/20.96 60-57-54.9200N 149-22-31.6000W
SNRRA,ARIZONA,33-20-14.0700N 113-27-38.7200W
SNRUB,NEBRASKA,41-24-12.2700N 095-57-17.2100W
SNSBK,OFFSHORE ATLANTIC,ZFP*D*269.08/40.00 26-30-27.9100N 079-26-21.3700W
SNSET,TEXAS,32-39-32.3800N 097-15-13.3400W
SNSHN,CALIFORNIA,34-07-06.7500N 117-50-25.1800W
SNSTT,CALIFORNIA,33-12-08.2100N 116-38-39.1400W
SNTNA,CALIFORNIA,37-50-16.0300N 122-26-03.2600W
SNTOE,ILLINOIS,VZE*LD*092.89/25.25 41-57-55.2100N 087-22-18.4100W
SNTRA,CALIFORNIA,34-44-16.4600N 117-28-20.0600W
SNTRS,NEW MEXICO,32-04-17.7200N 106-36-33.6500W
SNUCK,WEST VIRGINIA,38-24-21.8600N 082-24-10.9800W
SNUFF,TENNESSEE,CKV*D* /5.82 CKV*LC*167.14 36-31-37.8800N 087-23-10.7300W
SNUFY,GEORGIA,33-40-12.1800N 084-34-59.6000W
SNUGI,MARYLAND,38-56-56.8800N 076-26-32.1800W
SNUGS,IOWA,40-42-24.0300N 091-20-32.4400W
SNUPY,CALIFORNIA,SGD*C*307.00/23.91 38-30-06.1600N 122-40-17.4300W
SNYDE,MISSISSIPPI,LBY*C*170.97 SJI*C*243.51/50.00 30-25-00.9000N 089-15-21.9100W
SNYDR,MISSOURI,FTZ*C*081.56/20.98 STL*C*191.99 38-42-52.1000N 090-31-31.5000W
SNYPR,CALIFORNIA,33-26-22.0000N 118-18-00.1000W
SOAAR,TEXAS,32-26-00.0000N 096-49-40.0000W
SOAND,KENTUCKY,FLM*D*338.42 JDP*LS*096.19 39-02-45.4800N 084-33-14.8000W
SOAPE,WASHINGTON,MWH*D*320.03/5.20 47-17-28.2700N 119-21-51.9600W
SOAPS,NEW MEXICO,ONM*C*345.00/13.00 34-33-20.8900N 106-49-46.6500W
SOAPY,ALASKA,FAI*C*099.00/83.67 BIG*C*046.32/12.84 64-04-44.4900N 145-15-39.7000W
SOARS,CONNECTICUT,BDR*D*354.52/22.07 41-30-42.0700N 073-16-17.7800W
SOBAH,MASSACHUSETTS,42-14-14.4500N 070-08-43.2800W
SOBAY,FLORIDA,PIE*C*132.00/11.00 TPA*LD*S CRS 27-47-08.1900N 082-32-09.6400W
SOBCO,ALASKA,YAK*D*098.48/50.00 59-06-24.0000N 138-13-39.0000W
SOBEE,WASHINGTON,NUW*T* /11.49 NUW*LD*316.64 48-31-55.1200N 122-47-02.9300W
SOBGE,ALASKA,MDO*D*308.00/101.72 JOH*D*274.39/53.59 60-48-34.8700N 148-17-07.5800W
SOBLE,MISSISSIPPI,30-18-16.5400N 088-45-39.6400W
SOBME,,07-07-17.6600N 158-10-14.8900E
SOBNE,TENNESSEE,35-06-26.7300N 084-35-14.5100W
SOBOC,NEW YORK,43-18-44.4500N 077-22-59.4300W
SOBOE,NORTH CAROLINA,GSB*T* /3.00 GSB*LS*261.10 35-19-19.1900N 078-01-48.9500W
SOBOW,HAWAII,20-50-00.6700N 157-10-57.2000W
SOBPO,FLORIDA,26-34-36.1600N 080-02-18.0100W
SOBTE,CALIFORNIA,39-22-45.7900N 123-47-50.1100W
SOBUE,ALASKA,65-10-25.2700N 152-14-31.7200W
SOCAB,GEORGIA,WRB*T*147.00/6.00 32-33-32.0500N 083-31-21.7600W
SOCBO,ALASKA,68-18-32.5800N 144-50-57.2700W
SOCCA,KANSAS,ICT*C*103.00/24.00 37-36-26.3300N 097-06-38.9400W
SOCCO,OFFSHORE ATLANTIC,21-06-59.0500N 063-03-42.7600W
SOCDO,IDAHO,42-51-59.6000N 114-52-57.1600W
SOCGO,ALASKA,62-41-47.3200N 164-36-47.6200W
SOCKE,ALASKA,63-20-00.0000N 147-34-00.0000W
SOCKI,OFFSHORE ATLANTIC,25-37-51.3000N 079-02-12.9600W
SOCKK,TEXAS,32-29-56.8500N 097-16-56.0400W
SOCKO,KANSAS,GCK*C*085.60/8.00 37-54-12.0700N 100-33-25.5400W
SOCKS,ARKANSAS,LIT*C*239.00 HOT*D*123.00/10.34 34-22-28.5600N 092-55-27.6300W
SOCKY,COLORADO,RIL*LD*078.46/24.98 39-32-09.3700N 107-12-21.6800W
SOCKZ,TENNESSEE,36-21-34.8500N 081-56-27.5200W
SOCLE,VIRGINIA,36-56-28.0100N 082-37-43.9300W
SOCLO,WASHINGTON,48-36-19.1800N 122-41-31.1000W
SOCNO,WISCONSIN,43-06-04.3500N 089-44-32.4600W
SOCOB,ARKANSAS,35-46-16.4000N 091-49-47.6600W
SOCOD,MINNESOTA,47-29-31.5300N 094-34-22.5400W
SOCOL,KANSAS,37-40-17.1600N 096-59-55.4900W
SOCOP,NEW YORK,42-21-56.2000N 076-06-31.4800W
SOCOS,INDIANA,41-30-14.7800N 087-31-05.5400W
SOCOY,ALASKA,HPB*D*017.52/42.03 62-06-50.6100N 165-22-37.8100W
SOCSI,MINNESOTA,MVE*D*148.21/25.00 44-36-01.8500N 095-26-56.8300W
SOCYO,MISSOURI,36-49-58.9500N 091-54-12.7900W
SODDA,OREGON,45-23-02.6300N 121-05-10.6200W
SODDO,ARKANSAS,35-59-35.7700N 094-24-34.7300W
SODDY,MISSISSIPPI,GLH*D*075.02 SQS*C*323.53/11.00 33-37-01.2200N 090-23-54.3200W
SODEE,TEXAS,29-39-40.0900N 098-41-00.4000W
SODGE,NEW YORK,43-08-16.4500N 077-36-43.7400W
SODIE,MINNESOTA,GEP*C*296.55/25.00 DWN*C*048.44/29.91 45-22-07.4800N 093-52-17.1100W
SODKE,SOUTH CAROLINA,34-06-37.7900N 081-41-41.3300W
SODME,WASHINGTON,PUW*D*027.10/3.70 46-42-58.3400N 117-09-28.1200W
SODNE,CALIFORNIA,37-36-23.3100N 118-27-02.1100W
SODOC,NORTH CAROLINA,34-12-10.9400N 078-48-25.5500W
SODOE,WASHINGTON,SZI*LD*344.34*N CRS/6.16 47-32-15.9300N 122-18-37.2200W
SODOY,NORTH CAROLINA,35-29-25.2200N 077-07-34.1500W
SODSE,ARIZONA,BLH*C*080.49/18.00 33-34-19.2600N 114-24-11.9700W
SODUS,NEW YORK,43-14-04.9100N 077-06-52.5700W
SODVE,TEXAS,31-52-01.4000N 094-09-48.0800W
SODZE,HAWAII,UPP*C*201.71/11.00 MUE*D*269.30 20-02-44.4200N 155-56-54.5900W
SOEHL,CALIFORNIA,33-55-05.5200N 117-31-47.5800W
SOERN,OREGON,43-00-20.8500N 121-51-08.9900W
SOFAR,OFFSHORE ATLANTIC,25-31-59.9700N 078-14-52.8900W
SOFAS,FLORIDA,25-51-31.8600N 080-39-17.6800W
SOFEA,MASSACHUSETTS,42-32-52.2400N 070-48-41.6000W
SOFEE,MASSACHUSETTS,41-50-35.4200N 071-15-32.1300W
SOFFE,WASHINGTON,48-41-41.3100N 119-29-21.9300W
SOFFT,TEXAS,30-04-05.1600N 094-36-53.9900W
SOFIE,NORTH CAROLINA,ECG*D*089.99/5.00 36-16-03.7700N 076-04-24.0300W
SOFII,CALIFORNIA,32-50-39.9500N 115-29-13.3400W
SOFOB,MASSACHUSETTS,41-43-44.4500N 070-00-29.0500W
SOFTY,WEST VIRGINIA,BLF*D*073.62/15.34 PSK*C*340.83/20.09 37-23-27.6000N 080-53-29.8400W
SOFWR,MISSOURI,36-59-57.5900N 094-00-38.8200W
SOGBE,WEST VIRGINIA,ESL*D*103.00/24.40 39-10-29.0400N 078-28-13.7700W
SOGEE,TENNESSEE,36-31-50.6400N 084-11-35.3900W
SOGGI,CALIFORNIA,PSP*C*329.00/39.88 PMD*C*081.00/69.08 34-30-10.7900N 116-40-41.7900W
SOGGY,MINNESOTA,44-47-40.2900N 092-51-33.1100W
SOGKO,COLORADO,38-59-51.8300N 104-33-32.8600W
SOGOC,ALABAMA,34-58-24.0400N 086-11-43.1100W
SOGOE,NEW YORK,40-42-15.8800N 073-42-10.4100W
SOGOY,MISSOURI,38-13-25.8300N 093-51-07.0100W
SOGSE,MISSOURI,37-58-42.8400N 091-26-24.7700W
SOGTY,SOUTH CAROLINA,CHS*C* /3.26 CCI*LS*154.42 32-50-59.8500N 080-00-01.3300W
SOHJU,TEXAS,28-51-24.4200N 098-29-10.9200W
SOHOD,ALASKA,59-21-48.3800N 139-40-42.8800W
SOHOW,ILLINOIS,39-50-25.3700N 089-40-37.4300W
SOITE,NEW JERSEY,GXU*C*169.30 CYN*C*259.90/2.59 MJX*LS*242.84 39-48-08.8800N 074-29-03.3800W
SOJSU,CALIFORNIA,35-17-22.2000N 120-55-07.2000W
SOKCO,NEBRASKA,40-53-58.2700N 100-02-27.8400W
SOKEY,ALASKA,61-02-58.9800N 151-10-51.5200W
SOKHA,NEBRASKA,SNY*D*077.89/37.73 SAE*D*256.05/17.16 41-05-01.9300N 102-09-05.4100W
SOKIE,FLORIDA,26-29-31.7600N 081-58-51.1900W
SOKIY,ALASKA,56-20-21.2200N 132-20-30.5100W
SOKKI,ALASKA,60-50-51.0300N 161-49-19.0100W
SOKKS,MISSOURI,39-18-34.0000N 094-50-21.3700W
SOKLE,TEXAS,29-09-06.0600N 095-45-43.0000W
SOKNE,OREGON,44-53-02.3500N 117-51-36.2300W
SOKOC,KENTUCKY,38-14-58.9800N 084-39-35.2100W
SOKOY,CALIFORNIA,SAC*C*251.00/13.49 ILA*C*148.79/39.13 38-26-07.6400N 121-50-15.3000W
SOKPE,WEST VIRGINIA,38-19-33.6500N 082-17-19.9700W
SOKRE,CALIFORNIA,CZQ*T*255.26/15.00 36-53-06.2200N 120-07-36.3300W
SOKSE,ARKANSAS,36-26-15.7300N 093-24-43.7300W
SOKYO,KANSAS,38-42-07.8200N 094-45-30.4600W
SOLAE,VIRGINIA,37-54-04.4500N 079-59-20.6600W
SOLAR,COLORADO,DEN*D*197.00/44.00 39-08-47.9200N 105-03-32.8200W
SOLAY,CALIFORNIA,33-31-15.2600N 116-46-48.6000W
SOLBE,ARIZONA,FLG*D* /0.85 FLG*LG*034.17 35-09-04.4500N 111-39-27.4300W
SOLCE,HAWAII,22-23-54.0000N 156-14-33.6000W
SOLCO,ALASKA,64-43-21.7000N 155-28-58.2500W
SOLDD,MICHIGAN,41-49-46.8600N 083-30-54.2600W
SOLDE,IDAHO,HLE*RD*240.24 BYI*D*304.63/51.20 PIH*D*268.97/87.66 TWF*C*337.42/46.73 43-15-23.2000N 114-34-28.5700W
SOLDO,TEXAS,BYP*C*181.03 TTT*D*084.18/35.79 CVE*D*086.82/28.92 32-51-55.0000N 096-19-56.3200W
SOLDR,WYOMING,42-25-51.6600N 110-18-14.7700W
SOLED,CALIFORNIA,PMD*C*188.74/11.02 LHS*C*107.00 34-27-46.6500N 118-09-11.6800W
SOLEE,ALASKA,68-52-46.5100N 165-47-42.6400W
SOLEI,OFFSHORE ATLANTIC,PVN*D*282.89/41.60 GTK*C*293.48/107.22 21-49-04.0000N 073-00-34.0000W
SOLJR,WASHINGTON,47-36-57.6400N 117-40-33.0800W
SOLLD,TEXAS,30-17-17.4200N 095-28-38.8600W
SOLME,MONTANA,BIL*C*177.56/30.92 45-18-13.0600N 108-46-15.7300W
SOLMN,SOUTH CAROLINA,CLT*D* /22.17 DQG*LS*182.96 34-49-16.1500N 080-55-06.1100W
SOLNE,UTAH,41-15-46.6000N 111-04-16.2300W
SOLOA,NEW JERSEY,40-37-02.5800N 074-56-10.7800W
SOLOC,VIRGINIA,37-05-42.4900N 076-30-27.7400W
SOLOH,TEXAS,33-00-43.6000N 097-24-11.0200W
SOLON,TEXAS,ALI*V*113.75 CRP*C*169.18/28.00 27-26-09.7700N 097-25-41.5700W
SOLOO,COLORADO,39-34-25.8300N 107-02-18.6000W
SOLOY,SOUTH DAKOTA,43-11-30.8900N 099-21-44.0400W
SOLRE,VIRGINIA,38-00-30.2900N 078-30-33.5500W
SOLSE,FLORIDA,30-16-06.3400N 081-52-27.8400W
SOLSN,IDAHO,43-28-12.5100N 114-22-32.1900W
SOLTE,VERMONT,44-25-55.2300N 072-00-51.8400W
SOLUM,IOWA,IOW*D*020.99 CID*D*094.97/17.30 41-50-13.0200N 091-24-20.8800W
SOLVA,NEW YORK,SYR*C*217.12 MRZ*LD*280.42/6.73 43-06-15.5200N 076-14-31.8200W
SOLVE,CALIFORNIA,NJK*T*084.00/14.75 32-48-35.9000N 115-23-26.1600W
SOLYO,PENNSYLVANIA,41-14-50.1400N 077-03-07.1900W
SOMBE,WISCONSIN,44-25-03.6000N 088-42-40.8400W
SOMCA,LOUISIANA,31-36-05.9800N 093-20-57.4700W
SOMER,TEXAS,THX*C*318.89/47.03 SAT*C*190.00/30.30 29-09-44.7500N 098-38-22.4700W
SOMEY,KANSAS,BVO*D*023.00/17.20 37-04-48.7400N 095-50-02.1900W
SOMKE,TEXAS,33-45-30.5700N 102-21-57.3500W
SOMMY,FLORIDA,EYW*C*077.26/41.80 24-43-34.1100N 081-03-04.9600W
SOMOE,TEXAS,33-10-40.4300N 098-29-18.8000W
SOMOH,HAWAII,22-19-17.4000N 156-20-33.0000W
SOMPE,MICHIGAN,MTC*T*357.00/0.90 42-37-39.7500N 082-50-05.8200W
SOMRE,PENNSYLVANIA,40-00-59.3200N 079-03-30.4600W
SOMRR,OFFSHORE ATLANTIC,32-23-11.4500N 064-48-35.2000W
SOMTO,PENNSYLVANIA,PTW*C*113.00 ARD*D*233.32/10.47 40-07-34.2000N 075-03-49.4200W
SOMUE,LOUISIANA,32-36-49.8400N 093-49-00.9900W
