fix_identifier,state,description
ACTOR,COLORADO,DVV*C*142.64 FQF*C*038.00/6.00 39-45-20.7300N 104-31-23.2000W
ACUBO,KANSAS,37-50-08.2200N 097-21-14.2500W
ACUDI,OKLAHOMA,34-39-54.8900N 098-03-49.5700W
ACUDU,ALASKA,66-52-15.5800N 162-23-11.0600W
ACUFF,TEXAS,CQY*C*263.38/20.00 CVE*D*154.61 32-10-53.4200N 096-36-39.0300W
ACUGI,OKLAHOMA,34-16-41.1700N 097-57-25.2800W
ACUGO,MAINE,44-07-59.2100N 070-24-18.9500W
ACUHA,MAINE,44-18-32.6500N 068-42-51.5000W
ACUNO,VIRGINIA,ORF*LD*226.79/3.88 36-51-22.9600N 076-14-12.2700W
ACUSA,PENNSYLVANIA,40-00-26.4400N 077-35-35.8700W
ACUSE,KANSAS,38-07-23.5200N 097-30-10.7400W
ACUTI,CALIFORNIA,38-31-30.4000N 122-49-04.3600W
ACUVI,GEORGIA,DOB*T*111.00/0.90 33-54-36.0300N 084-29-24.6100W
ACUXA,TEXAS,NGP*T*327.00/1.40 27-42-23.5400N 097-18-28.4000W
ACUYU,GUAM,UAM*T* /0.50 PMY*LG*063.87 13-35-32.0100N 144-57-18.2600E
ACUZI,INDIANA,FWA*C*321.98/18.51 41-12-02.4700N 085-28-19.4800W
ACVEK,TEXAS,30-34-58.9100N 097-41-06.9900W
ACVIK,TEXAS,NGP*T*147.00/0.60 27-40-39.3400N 097-17-20.8100W
ACVOL,OREGON,CVO*D* /6.87 CVO*LS*351.96 44-36-47.1900N 123-16-20.3500W
ACWEW,WASHINGTON,46-11-36.0000N 119-00-56.1600W
ACXIY,ILLINOIS,39-51-29.2100N 088-02-43.9800W
ACYLS,GEORGIA,31-03-51.2800N 083-11-39.9500W
ACYOG,MAINE,44-32-48.8000N 069-12-54.8800W
ACZES,COLORADO,PUB*C*267.20/21.81 BRK*D*190.07 38-19-34.8800N 104-53-21.7600W
ACZUP,MISSISSIPPI,MEI*C*172.76/15.00 MEI*LS*191.27 32-07-41.2100N 088-47-33.9600W
ADAAY,TENNESSEE,35-47-41.3400N 086-14-06.3000W
ADABE,,YP*RD*057.26/11.09 09-35-48.9300N 138-14-50.3100E
ADABN,KENTUCKY,37-49-16.3500N 087-32-23.0100W
ADABY,NEW MEXICO,35-28-33.5800N 108-52-21.4100W
ADACO,MARYLAND,39-01-39.1700N 076-46-24.9300W
ADADE,ALASKA,64-22-44.7100N 162-16-01.9100W
ADAFE,CALIFORNIA,39-39-10.4300N 123-20-47.7100W
ADAGE,CALIFORNIA,EDW*C*265.00/3.00 34-59-18.4300N 117-47-34.8300W
ADALE,MICHIGAN,BAE*D*096.21/101.36 PMM*D*010.21/23.62 42-51-10.8400N 086-00-39.5700W
ADAME,ILLINOIS,TSL*LD*092.90*E CRS/10.11 41-58-08.9000N 087-39-08.5000W
ADAMM,CALIFORNIA,VNY*D*095.00/35.82 POM*C*186.99/3.96 PDZ*C*277.52 34-01-01.3700N 117-49-00.5400W
ADAMZ,WISCONSIN,DLL*C*335.07/25.33 VOK*T*090.06/12.02 VOK*LS*089.00 43-56-32.2200N 089-58-54.3600W
ADANE,COLORADO,BRK*D*090.80/11.11 PUB*C*354.19/37.29 DEN*D*159.15/55.11 38-54-57.2600N 104-23-56.4600W
ADANN,KANSAS,GCK*C* /12.00 GCK*LS*175.42 37-43-07.5600N 100-43-29.4800W
ADAPE,LOUISIANA,30-33-36.5100N 090-27-46.8900W
ADAPT,GEORGIA,31-13-47.4600N 083-11-34.3700W
ADARE,ILLINOIS,41-49-37.1100N 089-33-03.6000W
ADAVE,SOUTH CAROLINA,CAE*C*186.00/3.00 33-48-26.2100N 081-03-29.1300W
ADAXE,DIST. OF COLUMBIA,38-54-02.6100N 077-04-05.2200W
ADAXY,TEXAS,32-22-38.7300N 097-33-16.2700W
ADAYA,OREGON,42-33-02.4400N 122-51-40.6000W
ADAYI,GUAM,UNZ*C* /15.57 AJA*R*060.51 13-34-20.9000N 144-58-15.0400E
ADBAW,CALIFORNIA,39-35-47.6500N 123-25-58.4000W
ADBON,OFFSHORE PACIFIC,00-00-00.0000S 154-13-42.0000E
ADCAP,MINNESOTA,48-38-56.9700N 095-47-28.7900W
ADCIN,MINNESOTA,47-09-48.6200N 093-29-20.9600W
ADCOJ,IOWA,42-07-52.0200N 092-16-07.0100W
ADCOK,MARYLAND,BAL*C* /3.39 UQC*LS*335.23 39-13-16.3400N 076-41-41.5600W
ADCOM,SOUTH CAROLINA,ALD*V*024.30 CAE*C*140.20/10.00 33-43-57.7300N 080-55-14.5300W
ADDAM,MARYLAND,NHK*T*122.00/25.00 38-07-25.5700N 075-55-15.7900W
ADDAX,FLORIDA,GEF*C*197.19 CTY*C*297.00/54.59 SZW*C*148.35/39.57 29-58-52.0200N 083-59-53.9100W
ADDAY,OREGON,42-15-41.1800N 124-27-10.1500W
ADDDA,MASSACHUSETTS,42-36-20.2500N 070-46-55.4600W
ADDDY,MICHIGAN,41-53-21.9100N 086-16-30.2200W
ADDED,TEXAS,30-20-41.5600N 097-52-59.9500W
ADDEK,VIRGINIA,38-40-21.6700N 077-24-26.9200W
ADDEY,NEBRASKA,GRI*D*173.00/7.00 40-52-02.4500N 098-18-53.1200W
ADDIE,ARKANSAS,35-54-38.0000N 093-24-38.0000W
ADDIL,TEXAS,28-24-06.9000N 099-40-57.6600W
ADDIV,MISSOURI,39-22-36.9400N 094-44-01.9700W
ADDMM,CALIFORNIA,37-46-15.7000N 121-42-30.9100W
ADDMO,OKLAHOMA,ADM*C*077.69 AIW*LS*129.42 34-13-58.8400N 096-55-56.2400W
ADDPO,OFFSHORE PACIFIC,07-53-10.0000N 132-05-25.0000E
ADDUG,NEVADA,35-54-52.4400N 114-46-48.4300W
ADDUM,OREGON,JMJ*LD*103.03*E CRS/5.84 45-31-53.8600N 122-27-31.5100W
ADDVL,TEXAS,ADM*C*135.03 TTT*D*042.49/45.58 33-22-18.3300N 096-21-40.4300W
ADECI,INDIANA,40-52-18.2300N 086-03-23.6100W
ADECY,PUERTO RICO,17-56-18.0000N 066-31-50.8700W
ADEDE,GUAM,UNZ*C*244.75/1.99 GUM*LD*246.95/7.28 13-26-29.0100N 144-42-07.2100E
ADEDY,SOUTH DAKOTA,43-03-05.0600N 099-17-41.3500W
ADEEL,NORTH CAROLINA,35-58-34.9300N 078-45-31.9400W
ADEER,KANSAS,GCK*C*269.77/16.84 37-58-15.5800N 101-04-25.0000W
ADEGE,NORTH CAROLINA,POB*T*005.00/12.00 35-22-07.0100N 079-01-41.1800W
ADEIN,TENNESSEE,36-14-59.0900N 082-46-58.9100W
ADEKE,KANSAS,MHK*D*214.89/6.94 MHK*LS*215.91 39-03-19.1100N 096-45-42.9700W
ADEKY,PENNSYLVANIA,40-20-32.8900N 075-53-22.9000W
ADELA,KANSAS,38-42-53.6900N 097-14-10.1300W
ADELE,WISCONSIN,BLY*LD*011.16/13.09 43-10-50.7100N 087-51-16.9600W
ADELL,ILLINOIS,41-14-59.0000N 088-15-00.0000W
ADELY,IOWA,BRL*D*288.12/22.00 40-52-00.0200N 091-22-13.2100W
